SOURCE	Cell_Line	Drug	Efficacy
CCLE	CCL_237	Drug_17	0.7986
CCLE	CCL_237	Drug_12	0.8343
CCLE	CCL_237	Drug_13	0.5379999999999999
CCLE	CCL_237	Drug_14	0.633
CCLE	CCL_237	Drug_15	0.6692
CCLE	CCL_237	Drug_16	0.823
CCLE	CCL_237	Drug_18	0.6187
CCLE	CCL_242	Drug_11	0.7672
CCLE	CCL_242	Drug_1	0.6999
CCLE	CCL_242	Drug_10	0.8033
CCLE	CCL_242	Drug_17	0.8957
CCLE	CCL_242	Drug_12	0.9363
CCLE	CCL_242	Drug_13	0.7807
CCLE	CCL_242	Drug_14	0.726
CCLE	CCL_242	Drug_15	0.8146
CCLE	CCL_242	Drug_16	0.8427
CCLE	CCL_242	Drug_18	0.6437
CCLE	CCL_245	Drug_11	0.6963
CCLE	CCL_245	Drug_1	0.7879
CCLE	CCL_245	Drug_10	0.8162
CCLE	CCL_245	Drug_17	0.8282
CCLE	CCL_245	Drug_12	0.935
CCLE	CCL_245	Drug_13	0.6881
CCLE	CCL_245	Drug_14	0.6946
CCLE	CCL_245	Drug_15	0.7531
CCLE	CCL_245	Drug_16	0.938
CCLE	CCL_245	Drug_18	0.5253
CCLE	CCL_309	Drug_11	0.8532
CCLE	CCL_309	Drug_1	0.7814
CCLE	CCL_309	Drug_10	0.6068
CCLE	CCL_309	Drug_17	0.8099
CCLE	CCL_309	Drug_12	1.0
CCLE	CCL_309	Drug_13	0.6264
CCLE	CCL_309	Drug_14	0.7238
CCLE	CCL_309	Drug_15	0.8173
CCLE	CCL_309	Drug_16	0.7759
CCLE	CCL_309	Drug_18	0.5856
CCLE	CCL_311	Drug_11	0.7977
CCLE	CCL_311	Drug_1	0.7584
CCLE	CCL_311	Drug_10	0.7012
CCLE	CCL_311	Drug_17	0.8447
CCLE	CCL_311	Drug_12	0.8361
CCLE	CCL_311	Drug_13	0.8294
CCLE	CCL_311	Drug_14	0.8009999999999999
CCLE	CCL_311	Drug_15	0.8657
CCLE	CCL_311	Drug_16	0.8378
CCLE	CCL_311	Drug_18	0.6579999999999999
CCLE	CCL_321	Drug_11	0.7257
CCLE	CCL_321	Drug_1	0.8245
CCLE	CCL_321	Drug_10	0.6294
CCLE	CCL_321	Drug_17	0.8569
CCLE	CCL_321	Drug_12	0.7601
CCLE	CCL_321	Drug_13	0.725
CCLE	CCL_321	Drug_14	0.7837
CCLE	CCL_321	Drug_15	0.789
CCLE	CCL_321	Drug_16	0.8933
CCLE	CCL_321	Drug_18	0.3774
CCLE	CCL_327	Drug_11	0.8076
CCLE	CCL_327	Drug_1	0.8201
CCLE	CCL_327	Drug_10	0.8804
CCLE	CCL_327	Drug_17	0.8459
CCLE	CCL_327	Drug_12	0.8761
CCLE	CCL_327	Drug_13	0.7796
CCLE	CCL_327	Drug_14	0.7898
CCLE	CCL_327	Drug_15	0.7531
CCLE	CCL_327	Drug_16	0.8534
CCLE	CCL_327	Drug_18	0.6141
CCLE	CCL_336	Drug_11	0.7829
CCLE	CCL_336	Drug_1	0.7851
CCLE	CCL_336	Drug_10	0.7933
CCLE	CCL_336	Drug_12	0.9569
CCLE	CCL_336	Drug_13	0.8762
CCLE	CCL_336	Drug_14	0.8433
CCLE	CCL_336	Drug_15	0.8865
CCLE	CCL_336	Drug_16	0.8945
CCLE	CCL_336	Drug_18	0.5692
CCLE	CCL_363	Drug_11	0.8292
CCLE	CCL_363	Drug_1	0.8149
CCLE	CCL_363	Drug_10	0.6398
CCLE	CCL_363	Drug_17	0.8423
CCLE	CCL_363	Drug_12	0.9825
CCLE	CCL_363	Drug_13	0.7434
CCLE	CCL_363	Drug_14	0.7647
CCLE	CCL_363	Drug_15	0.8846
CCLE	CCL_363	Drug_16	0.8574
CCLE	CCL_363	Drug_18	0.6307
CCLE	CCL_370	Drug_11	0.7696
CCLE	CCL_370	Drug_1	0.7864
CCLE	CCL_370	Drug_10	0.82
CCLE	CCL_370	Drug_17	0.8114
CCLE	CCL_370	Drug_12	0.9811
CCLE	CCL_370	Drug_13	0.8407
CCLE	CCL_370	Drug_14	0.6527
CCLE	CCL_370	Drug_15	0.8336
CCLE	CCL_370	Drug_16	0.9024
CCLE	CCL_370	Drug_18	0.4647
CCLE	CCL_386	Drug_11	0.8454
CCLE	CCL_386	Drug_1	0.7809999999999999
CCLE	CCL_386	Drug_10	0.9061
CCLE	CCL_386	Drug_17	0.9666
CCLE	CCL_386	Drug_12	0.8975
CCLE	CCL_386	Drug_13	0.7232
CCLE	CCL_386	Drug_14	0.7076
CCLE	CCL_386	Drug_15	0.8192
CCLE	CCL_386	Drug_16	0.8206
CCLE	CCL_386	Drug_18	0.6652
CCLE	CCL_404	Drug_11	0.8614
CCLE	CCL_404	Drug_1	0.8714
CCLE	CCL_404	Drug_10	0.9778
CCLE	CCL_404	Drug_17	0.903
CCLE	CCL_404	Drug_12	0.927
CCLE	CCL_404	Drug_13	0.7035
CCLE	CCL_404	Drug_14	0.9027
CCLE	CCL_404	Drug_15	0.9255
CCLE	CCL_404	Drug_16	0.9425
CCLE	CCL_404	Drug_18	0.8224
CCLE	CCL_423	Drug_11	0.7466
CCLE	CCL_423	Drug_1	0.6627
CCLE	CCL_423	Drug_10	0.7394
CCLE	CCL_423	Drug_12	0.9657
CCLE	CCL_423	Drug_13	0.7404
CCLE	CCL_423	Drug_14	0.7624
CCLE	CCL_423	Drug_15	0.8639
CCLE	CCL_423	Drug_16	0.7125
CCLE	CCL_423	Drug_18	0.4067
CCLE	CCL_441	Drug_11	0.8014
CCLE	CCL_441	Drug_1	0.7198
CCLE	CCL_441	Drug_10	0.9413
CCLE	CCL_441	Drug_17	0.8843
CCLE	CCL_441	Drug_12	0.82
CCLE	CCL_441	Drug_13	0.6667
CCLE	CCL_441	Drug_14	0.7553
CCLE	CCL_441	Drug_15	0.7044
CCLE	CCL_441	Drug_16	0.8420000000000001
CCLE	CCL_441	Drug_18	0.6786
CCLE	CCL_465	Drug_11	0.8619
CCLE	CCL_465	Drug_1	0.7632
CCLE	CCL_465	Drug_10	0.9505
CCLE	CCL_465	Drug_17	0.9557
CCLE	CCL_465	Drug_12	0.9518
CCLE	CCL_465	Drug_13	0.8734
CCLE	CCL_465	Drug_14	0.8423
CCLE	CCL_465	Drug_15	0.9127
CCLE	CCL_465	Drug_16	0.9253
CCLE	CCL_465	Drug_18	0.7481
CCLE	CCL_476	Drug_11	0.7549
CCLE	CCL_476	Drug_1	0.938
CCLE	CCL_476	Drug_10	0.883
CCLE	CCL_476	Drug_17	0.9403
CCLE	CCL_476	Drug_12	0.8343
CCLE	CCL_476	Drug_13	0.7135
CCLE	CCL_476	Drug_14	0.7402
CCLE	CCL_476	Drug_15	0.9102
CCLE	CCL_476	Drug_16	0.933
CCLE	CCL_476	Drug_18	0.5429
CCLE	CCL_549	Drug_11	0.7208
CCLE	CCL_549	Drug_1	0.7305
CCLE	CCL_549	Drug_10	0.878
CCLE	CCL_549	Drug_17	0.8558
CCLE	CCL_549	Drug_12	0.8875
CCLE	CCL_549	Drug_13	0.7647
CCLE	CCL_549	Drug_14	0.7292
CCLE	CCL_549	Drug_15	0.8144
CCLE	CCL_549	Drug_16	0.7606
CCLE	CCL_549	Drug_18	0.6057
CCLE	CCL_579	Drug_11	0.7517
CCLE	CCL_579	Drug_1	0.9399
CCLE	CCL_579	Drug_10	0.9219
CCLE	CCL_579	Drug_17	0.83
CCLE	CCL_579	Drug_12	0.9778
CCLE	CCL_579	Drug_13	0.8159
CCLE	CCL_579	Drug_14	0.6711
CCLE	CCL_579	Drug_15	0.7855
CCLE	CCL_579	Drug_16	0.8446
CCLE	CCL_579	Drug_18	0.7518
CCLE	CCL_638	Drug_11	0.8689
CCLE	CCL_638	Drug_1	0.8845
CCLE	CCL_638	Drug_10	0.9414
CCLE	CCL_638	Drug_17	0.9608
CCLE	CCL_638	Drug_12	0.9874
CCLE	CCL_638	Drug_13	0.8663
CCLE	CCL_638	Drug_14	0.7879999999999999
CCLE	CCL_638	Drug_15	0.8041
CCLE	CCL_638	Drug_16	0.9343
CCLE	CCL_638	Drug_18	0.644
CCLE	CCL_654	Drug_11	0.7789
CCLE	CCL_654	Drug_1	0.9334
CCLE	CCL_654	Drug_10	0.8297
CCLE	CCL_654	Drug_17	0.9553
CCLE	CCL_654	Drug_12	0.8216
CCLE	CCL_654	Drug_13	0.7579
CCLE	CCL_654	Drug_14	0.7447
CCLE	CCL_654	Drug_15	0.773
CCLE	CCL_654	Drug_16	0.938
CCLE	CCL_654	Drug_18	0.5065
CCLE	CCL_659	Drug_11	0.9086
CCLE	CCL_659	Drug_1	0.764
CCLE	CCL_659	Drug_10	0.9686
CCLE	CCL_659	Drug_17	0.8194
CCLE	CCL_659	Drug_12	0.9572
CCLE	CCL_659	Drug_13	0.7632
CCLE	CCL_659	Drug_14	0.7291
CCLE	CCL_659	Drug_15	0.9069
CCLE	CCL_659	Drug_16	0.7776
CCLE	CCL_659	Drug_18	0.6741
CCLE	CCL_661	Drug_11	0.9179
CCLE	CCL_661	Drug_1	0.8273
CCLE	CCL_661	Drug_10	0.6675
CCLE	CCL_661	Drug_17	0.9624
CCLE	CCL_661	Drug_12	0.8361
CCLE	CCL_661	Drug_13	0.6684
CCLE	CCL_661	Drug_14	0.8224
CCLE	CCL_661	Drug_15	0.7889
CCLE	CCL_661	Drug_16	0.8442
CCLE	CCL_661	Drug_18	0.4454
CCLE	CCL_666	Drug_11	0.8548
CCLE	CCL_666	Drug_1	0.9237
CCLE	CCL_666	Drug_10	0.8886
CCLE	CCL_666	Drug_17	0.9599
CCLE	CCL_666	Drug_12	0.8705
CCLE	CCL_666	Drug_13	0.7525
CCLE	CCL_666	Drug_14	0.7484
CCLE	CCL_666	Drug_15	0.8129
CCLE	CCL_666	Drug_16	0.8276
CCLE	CCL_666	Drug_18	0.5412
CCLE	CCL_668	Drug_11	0.7332
CCLE	CCL_668	Drug_1	0.8443
CCLE	CCL_668	Drug_10	0.8925
CCLE	CCL_668	Drug_17	0.851
CCLE	CCL_668	Drug_12	0.9836
CCLE	CCL_668	Drug_13	0.8253
CCLE	CCL_668	Drug_14	0.7418
CCLE	CCL_668	Drug_15	0.7854
CCLE	CCL_668	Drug_16	0.9456
CCLE	CCL_668	Drug_18	0.5638
CCLE	CCL_683	Drug_11	0.8270000000000001
CCLE	CCL_683	Drug_1	0.7312
CCLE	CCL_683	Drug_10	0.967
CCLE	CCL_683	Drug_17	0.83
CCLE	CCL_683	Drug_12	0.9798
CCLE	CCL_683	Drug_13	0.7745
CCLE	CCL_683	Drug_14	0.7646
CCLE	CCL_683	Drug_15	0.8961
CCLE	CCL_683	Drug_16	0.7072
CCLE	CCL_683	Drug_18	0.5149
CCLE	CCL_688	Drug_11	0.8152
CCLE	CCL_688	Drug_1	0.8767
CCLE	CCL_688	Drug_10	0.9111
CCLE	CCL_688	Drug_17	0.8352
CCLE	CCL_688	Drug_12	0.8446
CCLE	CCL_688	Drug_13	0.7701
CCLE	CCL_688	Drug_14	0.4669
CCLE	CCL_688	Drug_15	0.7927
CCLE	CCL_688	Drug_16	0.8349
CCLE	CCL_688	Drug_18	0.6176
CCLE	CCL_704	Drug_11	0.8098
CCLE	CCL_704	Drug_1	0.8478
CCLE	CCL_704	Drug_10	0.8048
CCLE	CCL_704	Drug_17	0.8748
CCLE	CCL_704	Drug_12	0.8401
CCLE	CCL_704	Drug_13	0.7946
CCLE	CCL_704	Drug_14	0.7621
CCLE	CCL_704	Drug_15	0.8656
CCLE	CCL_704	Drug_16	0.9232
CCLE	CCL_704	Drug_18	0.6868
CCLE	CCL_714	Drug_11	0.959
CCLE	CCL_714	Drug_1	0.841
CCLE	CCL_714	Drug_10	0.8285
CCLE	CCL_714	Drug_17	0.8864
CCLE	CCL_714	Drug_12	0.8402
CCLE	CCL_714	Drug_13	0.8343
CCLE	CCL_714	Drug_14	0.9496
CCLE	CCL_714	Drug_15	0.8459
CCLE	CCL_714	Drug_16	0.8434
CCLE	CCL_714	Drug_18	0.6054
CCLE	CCL_749	Drug_11	0.75
CCLE	CCL_749	Drug_1	0.8758
CCLE	CCL_749	Drug_10	0.7165
CCLE	CCL_749	Drug_17	0.8413
CCLE	CCL_749	Drug_12	0.9686
CCLE	CCL_749	Drug_13	0.7263
CCLE	CCL_749	Drug_14	0.6531
CCLE	CCL_749	Drug_15	0.6805
CCLE	CCL_749	Drug_16	0.931
CCLE	CCL_749	Drug_18	0.6171
CCLE	CCL_761	Drug_11	0.9249
CCLE	CCL_761	Drug_1	0.8778
CCLE	CCL_761	Drug_10	0.9021
CCLE	CCL_761	Drug_17	0.9517
CCLE	CCL_761	Drug_12	0.955
CCLE	CCL_761	Drug_13	0.8621
CCLE	CCL_761	Drug_14	0.8549
CCLE	CCL_761	Drug_15	0.972
CCLE	CCL_761	Drug_16	0.9105
CCLE	CCL_761	Drug_18	0.6796
CCLE	CCL_790	Drug_11	0.7339
CCLE	CCL_790	Drug_1	0.5863
CCLE	CCL_790	Drug_10	0.85
CCLE	CCL_790	Drug_12	0.9478
CCLE	CCL_790	Drug_14	0.7167
CCLE	CCL_790	Drug_15	0.7601
CCLE	CCL_790	Drug_16	0.5272
CCLE	CCL_790	Drug_18	0.4961
CCLE	CCL_813	Drug_11	0.7336
CCLE	CCL_813	Drug_1	0.8337
CCLE	CCL_813	Drug_10	0.6946
CCLE	CCL_813	Drug_12	0.8517
CCLE	CCL_813	Drug_13	0.7676
CCLE	CCL_813	Drug_14	0.769
CCLE	CCL_813	Drug_15	0.8458
CCLE	CCL_813	Drug_16	0.9484
CCLE	CCL_813	Drug_18	0.528
CCLE	CCL_838	Drug_11	0.6709
CCLE	CCL_838	Drug_1	0.7517
CCLE	CCL_838	Drug_10	0.7404
CCLE	CCL_838	Drug_17	0.8325
CCLE	CCL_838	Drug_12	0.9555
CCLE	CCL_838	Drug_13	0.8204
CCLE	CCL_838	Drug_14	0.6298
CCLE	CCL_838	Drug_15	0.6723
CCLE	CCL_838	Drug_16	0.9284
CCLE	CCL_838	Drug_18	0.522
CCLE	CCL_840	Drug_11	0.9576
CCLE	CCL_840	Drug_1	0.8612
CCLE	CCL_840	Drug_10	0.6465
CCLE	CCL_840	Drug_17	0.855
CCLE	CCL_840	Drug_12	0.7297
CCLE	CCL_840	Drug_13	0.7637
CCLE	CCL_840	Drug_14	0.9659
CCLE	CCL_840	Drug_15	0.8334
CCLE	CCL_840	Drug_16	0.9848
CCLE	CCL_840	Drug_18	0.5647
CCLE	CCL_965	Drug_11	0.7773
CCLE	CCL_965	Drug_1	0.79
CCLE	CCL_965	Drug_10	0.9291
CCLE	CCL_965	Drug_17	0.9394
CCLE	CCL_965	Drug_12	1.0
CCLE	CCL_965	Drug_13	0.7913
CCLE	CCL_965	Drug_14	0.7521
CCLE	CCL_965	Drug_15	0.7568
CCLE	CCL_965	Drug_16	0.959
CCLE	CCL_965	Drug_18	0.5884
CCLE	CCL_980	Drug_11	0.7474
CCLE	CCL_980	Drug_1	0.7904
CCLE	CCL_980	Drug_10	0.6533
CCLE	CCL_980	Drug_12	0.7020000000000001
CCLE	CCL_980	Drug_13	0.7226
CCLE	CCL_980	Drug_14	0.7585
CCLE	CCL_980	Drug_15	0.8518
CCLE	CCL_980	Drug_16	0.8308
CCLE	CCL_980	Drug_18	0.4984
CCLE	CCL_998	Drug_11	0.8648
CCLE	CCL_998	Drug_1	0.7904
CCLE	CCL_998	Drug_10	0.7705
CCLE	CCL_998	Drug_17	0.9661
CCLE	CCL_998	Drug_12	0.957
CCLE	CCL_998	Drug_13	0.7687
CCLE	CCL_998	Drug_14	0.8586
CCLE	CCL_998	Drug_15	0.8179
CCLE	CCL_998	Drug_16	0.8505
CCLE	CCL_998	Drug_18	0.4425
CCLE	CCL_1004	Drug_11	0.8194
CCLE	CCL_1004	Drug_1	0.942
CCLE	CCL_1004	Drug_10	0.9956
CCLE	CCL_1004	Drug_17	0.9839
CCLE	CCL_1004	Drug_12	0.9534
CCLE	CCL_1004	Drug_13	0.8594
CCLE	CCL_1004	Drug_14	0.8129
CCLE	CCL_1004	Drug_15	0.7863
CCLE	CCL_1004	Drug_16	0.9889
CCLE	CCL_1004	Drug_18	0.7393
CCLE	CCL_1013	Drug_11	0.7925
CCLE	CCL_1013	Drug_1	0.8224
CCLE	CCL_1013	Drug_10	0.8624
CCLE	CCL_1013	Drug_12	0.9305
CCLE	CCL_1013	Drug_14	0.7658
CCLE	CCL_1013	Drug_15	0.8748
CCLE	CCL_1013	Drug_16	0.8068
CCLE	CCL_1013	Drug_18	0.5665
CCLE	CCL_1017	Drug_11	0.7946
CCLE	CCL_1017	Drug_1	0.6785
CCLE	CCL_1017	Drug_10	0.6784
CCLE	CCL_1017	Drug_17	0.7340000000000001
CCLE	CCL_1017	Drug_12	0.9835
CCLE	CCL_1017	Drug_13	0.664
CCLE	CCL_1017	Drug_14	0.6797
CCLE	CCL_1017	Drug_15	0.7725
CCLE	CCL_1017	Drug_16	0.7205
CCLE	CCL_1017	Drug_18	0.4281
CCLE	CCL_1041	Drug_11	0.7658
CCLE	CCL_1041	Drug_1	0.7853
CCLE	CCL_1041	Drug_10	0.8719
CCLE	CCL_1041	Drug_17	0.9378
CCLE	CCL_1041	Drug_12	0.8486
CCLE	CCL_1041	Drug_13	0.7645
CCLE	CCL_1041	Drug_14	0.7875
CCLE	CCL_1041	Drug_15	0.7921
CCLE	CCL_1041	Drug_16	0.85
CCLE	CCL_1041	Drug_18	0.5873
